順位,貸出数,書誌情報,分類,ＩＳＢＮ
99,17,てっきょうてっちゃんでんしゃなにかな?　　（はじめてであうえほんシリーズ）　やまもと しょうぞう／さく　くもん出版　2008.10　19×19cm　[24p],E,4-7743-1427-3
99,17,伝説の迷路　香川 元太郎／作・絵　PHP研究所　2008.3　32cm　24p,388,4-569-68769-8
99,17,忍たま乱太郎　[53]　　（ポプラ社の新・小さな童話 258）　尼子 騒兵衛／原作　ポプラ社　2011.3　22cm　95p,913.6,4-591-12256-3
99,17,はみがきさん　　（せなけいこのえ・ほ・ん 7）　せな けいこ／作・絵　ポプラ社　2013.5　21×21cm　27p,E,4-591-13448-1
99,17,へんしんレストラン　　（新しいえほん）　あきやま ただし／作・絵　金の星社　2013.8　25cm　[32p],E,4-323-03378-5
99,17,冒険!発見!大迷路魔法の学校　原 裕朗／作・絵　ポプラ社　2011.12　31cm　32p,E,4-591-12674-5
99,17,ぼくのくれよん　長 新太／おはなし・え　講談社　1993.4　31cm　1冊,E,4-06-131891-8
99,17,まわるおすし　長谷川 義史／作　ブロンズ新社　2012.3　26cm　1冊(ページ付なし),E,4-89309-535-0
99,17,ミッケ!　4　ウォルター・ウィック／写真　小学館　1994　31?　32p,E,4-09-727069-9
99,17,妖怪温泉　広瀬 克也／作　絵本館　2012.7　23×25cm　[28p],E,4-87110-077-9
99,17,妖怪食堂　広瀬 克也／作　絵本館　2013.5　23×25cm　[28p],E,4-87110-084-7
99,17,よかたい先生　　（ヒューマンノンフィクション）　三枝 三七子／文・絵　学研教育出版　2013.8　22cm　133p,289.1,4-05-203826-6
